id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,pass_cross,outcome_id,outcome_name,under_pressure,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,goalkeeper_position_id,goalkeeper_position_name,pass_assisted_shot_id,pass_shot_assist,end_z,shot_key_pass_id,off_camera,pass_deflected,counterpress,aerial_won,pass_switch,out,foul_won_defensive,shot_one_on_one,pass_cut_back,block_offensive,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_deflected,block_deflection,foul_committed_advantage,foul_won_advantage,pass_miscommunication,ball_recovery_recovery_failure,dribble_nutmeg,shot_open_goal,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name,season_name,pass_no_touch,dribble_overrun,foul_committed_offensive,ball_recovery_offensive,foul_committed_penalty,foul_won_penalty,dribble_no_touch,shot_follows_dribble,block_save_block,half_start_late_video_start,shot_redirect,pass_backheel
e2c22076-8391-4f77-b18c-7c86b8197769,2400,2,00:27:52.120000,72,52,140,1.133,8656,16,Shot,785,Croatia,2,From Corner,785,Croatia,,5469.0,Marcelo Brozović,14.0,Center Midfield,,,,,,,120.0,42.8,40.0,Right Foot,87.0,Open Play,98.0,48.0,,98.0,Off T,,0.030021574,95.0,Volley,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
116a7772-b867-4d88-b295-80c2295dbb18,2578,2,00:31:48.680000,76,48,147,1.653,8656,16,Shot,768,England,4,From Throw In,768,England,,3293.0,Jesse Lingard,13.0,Right Center Midfield,,,,,,,116.0,1.0,40.0,Right Foot,87.0,Open Play,115.0,55.0,,101.0,Wayward,,0.016519846,93.0,Normal,,,,,,,9c1897af-36b8-46a2-9a83-ed8c40c4c467,,,,,,,,True,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
042ae0e3-61da-4eb9-b875-3deca94f6f4f,2609,2,00:32:35.160000,77,35,149,1.773,8656,16,Shot,768,England,1,Regular Play,768,England,,3532.0,Jordan Brian Henderson,10.0,Center Defensive Midfield,,,,,,,120.0,44.0,40.0,Right Foot,87.0,Open Play,95.0,45.0,,98.0,Off T,,0.03295447,93.0,Normal,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
4abac302-ce89-4c63-937a-27084fb6ca67,2752,2,00:37:19.560000,82,19,159,0.44,8656,16,Shot,785,Croatia,1,Regular Play,785,Croatia,,5472.0,Mario Mandžukić,23.0,Center Forward,,,,,,,119.0,43.6,40.0,Right Foot,87.0,Open Play,113.0,52.0,,100.0,Saved,,0.071416385,95.0,Volley,,,,,,1.3,3282f41d-07bd-41b0-bff5-5c6a0c5812d4,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
6fc1d4e2-810d-4230-8885-c6528ef3923e,2782,2,00:38:00.440000,83,0,161,1.213,8656,16,Shot,785,Croatia,8,From Keeper,785,Croatia,,5474.0,Ivan Perišić,21.0,Left Wing,,,,,,,120.0,41.3,40.0,Right Foot,87.0,Open Play,113.0,24.0,,98.0,Off T,,0.034025826,93.0,Normal,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
d135b0fb-5a56-44c9-8351-63ae1ef74667,3036,2,00:44:32.613000,89,32,173,1.4,8656,16,Shot,785,Croatia,1,Regular Play,785,Croatia,,3471.0,Dejan Lovren,3.0,Right Center Back,,,,,,,120.0,43.4,40.0,Right Foot,87.0,Open Play,89.0,57.0,,98.0,Off T,,0.006736835,93.0,Normal,,,,,,6.0,a9d70943-e1d4-4fbf-a7b2-8b391ee0f7bd,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
9bd474b1-4518-4101-b405-2a585e274512,3064,2,00:46:23.040000,91,23,176,1.653,8656,16,Shot,768,England,3,From Free Kick,768,England,,10955.0,Harry Kane,22.0,Right Center Forward,,,,,,,120.0,34.4,37.0,Head,87.0,Open Play,113.0,33.0,,98.0,Off T,,0.054013368,93.0,Normal,,,,,,1.2,6e83ff0f-db8f-4236-a547-f4f90fb109d2,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
0f321124-e4d6-4f8b-b1b8-43e040a87303,3324,3,00:07:29.735000,97,29,189,0.253,8656,16,Shot,768,England,1,Regular Play,768,England,,10956.0,Eric Dier,10.0,Center Defensive Midfield,,,,,,,97.0,51.0,40.0,Right Foot,87.0,Open Play,92.0,51.0,,96.0,Blocked,,0.020738635,93.0,Normal,,,,,,,b609913f-acb4-4e23-9e66-fefca08d1f77,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
cee38a3f-149c-4cab-a89a-b2abd2f73e24,3329,3,00:08:12.415000,98,12,190,0.72,8656,16,Shot,768,England,2,From Corner,768,England,,3244.0,John Stones,4.0,Center Back,,,,,,,119.0,39.0,37.0,Head,87.0,Open Play,113.0,49.0,,96.0,Blocked,,0.06443832,93.0,Normal,,,,,,,3219458a-b239-4d44-99f6-ed4f508184b9,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
d4ed06b0-37c0-4ff6-914c-e75b1f870d1e,3410,3,00:11:22.775000,101,22,194,0.15,8656,16,Shot,785,Croatia,3,From Free Kick,785,Croatia,,5460.0,Andrej Kramarić,17.0,Right Wing,,,,,,,105.0,57.0,38.0,Left Foot,87.0,Open Play,106.0,58.0,,96.0,Blocked,,0.017686963,93.0,Normal,,,,,,,e483b5f2-ffa8-492b-aa2e-e72101d59076,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
