minute,second,period,team_name,player_name,position_name,x,y,end_x,end_y,body_part_name,technique_name,play_pattern_name,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,outcome_name,season_name,goal,shot_distance,angle,centrality
40,57,1,Australia,Mitchell Thomas Duke,Left Center Forward,98.3,20.9,119.0,37.3,Right Foot,Normal,From Throw In,False,False,False,False,False,0.010397313,Saved,2022,0,28.908476265621474,0.19081907551246546,19.1
46,10,2,Australia,Aziz Eraltay Behich,Left Back,100.2,34.1,111.5,39.6,Right Foot,Half Volley,From Corner,False,True,False,False,False,0.049681988,Blocked,2022,0,20.66034849657672,0.33716376549388677,5.899999999999999
47,47,2,Australia,Jackson Irvine,Center Attacking Midfield,109.6,30.8,120.0,42.8,Left Foot,Half Volley,Regular Play,False,True,False,False,False,0.17342122,Off T,2022,0,13.88524396616783,0.40130930128854037,9.2
51,59,2,Denmark,Andreas Skov Olsen,Right Wing,107.2,52.9,108.6,51.2,Left Foot,Normal,From Throw In,False,False,False,False,False,0.046983063,Blocked,2022,0,18.172781845386243,0.28751343776917293,12.899999999999999
59,56,2,Australia,Mathew Leckie,Right Wing,105.7,31.5,120.0,43.5,Left Foot,Normal,From Counter,False,False,False,False,False,0.11353828,Goal,2022,1,16.63550420035413,0.37833820255783457,8.5
68,4,2,Denmark,Andreas Skov Olsen,Right Wing,103.1,49.3,107.1,46.3,Left Foot,Normal,From Throw In,True,False,False,False,False,0.070518844,Blocked,2022,0,19.289893727027117,0.332101393715064,9.299999999999997
68,39,2,Denmark,Joachim Andersen,Right Center Back,113.9,52.3,120.0,47.1,Head,Normal,From Corner,True,False,False,False,False,0.020115681,Off T,2022,0,13.729530217745976,0.24968100794946757,12.299999999999997
76,24,2,Denmark,Alexander Hartmann Bah,Right Back,99.4,54.5,101.1,53.5,Right Foot,Half Volley,Regular Play,False,True,False,False,False,0.019515881,Blocked,2022,0,25.191466809219342,0.23813172945592787,14.5
76,25,2,Denmark,Kasper Dolberg,Left Center Forward,105.2,39.6,116.8,38.4,Left Foot,Backheel,Regular Play,False,True,False,False,False,0.049264465,Saved,2022,0,14.805404418657394,0.4845460155939959,0.3999999999999986
81,19,2,Denmark,Jesper Lindstrøm,Left Midfield,97.5,38.2,103.5,38.7,Right Foot,Normal,Regular Play,False,False,False,False,False,0.048889678,Blocked,2022,0,22.571885167172013,0.3205440091442665,1.7999999999999972
84,55,2,Australia,Keanu Baccus,Right Wing,97.7,47.5,100.3,46.8,Right Foot,Normal,From Counter,False,False,False,False,False,0.035468098,Blocked,2022,0,23.527430798963152,0.29348131934247734,7.5
87,30,2,Denmark,Alexander Hartmann Bah,Right Back,108.6,57.0,120.0,46.5,Right Foot,Normal,Regular Play,False,True,False,False,False,0.03670106,Off T,2022,0,20.46851240320117,0.20292563462939883,17.0
94,11,2,Denmark,Kasper Dolberg,Left Center Forward,117.6,33.5,118.4,35.2,Right Foot,Backheel,From Counter,False,True,False,False,False,0.08217044,Saved,2022,0,6.928924880528005,0.46965697479803403,6.5
94,59,2,Denmark,Andreas Evald Cornelius,Right Center Forward,116.6,51.6,120.0,41.0,Head,Normal,From Corner,False,False,False,False,False,0.017447446,Off T,2022,0,12.088010589009263,0.18536378073848647,11.600000000000001
12,53,1,Brazil,Neymar da Silva Santos Junior,Center Attacking Midfield,119.2,0.7,119.7,38.7,Right Foot,Normal,From Corner,False,False,True,False,False,0.00018,Saved,2022,0,39.30814165029937,0.0038230984884717323,39.3
