match_id,competition_name,season_name,minute,second,period,team,player,position,shot_body_part,shot_technique,play_pattern,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,shot_outcome,x,y,end_x,end_y,goal
3922838,African Cup of Nations,2023,70,36,2,Côte d'Ivoire,Sébastien Haller,Center Forward,Right Foot,Lob,From Free Kick,0,1,0,0,0,0.10099912,Off T,95.3,40.3,120.0,46.0,0
3922838,African Cup of Nations,2023,77,13,2,Congo DR,Meschak Elia,Left Midfield,Right Foot,Volley,From Throw In,0,1,0,0,0,0.025364079,Off T,96.8,42.3,120.0,35.0,0
3922838,African Cup of Nations,2023,78,50,2,Côte d'Ivoire,Max-Alain Gradel,Right Wing,Left Foot,Normal,Regular Play,0,0,0,0,0,0.028753504,Blocked,97.8,54.3,108.0,47.2,0
3922838,African Cup of Nations,2023,83,17,2,Côte d'Ivoire,Jean Thierry Lazare Amani,Center Attacking Midfield,Right Foot,Normal,From Counter,1,0,0,0,0,0.03835422,Off T,89.8,38.2,120.0,32.6,0
3922838,African Cup of Nations,2023,91,51,2,Congo DR,Simon Bokote Banza,Left Center Forward,Right Foot,Volley,From Free Kick,0,1,0,0,0,0.040101893,Off T,95.0,41.3,120.0,45.9,0
3922837,African Cup of Nations,2023,14,55,1,South Africa,Sphephelo S''Miso Sithole,Left Defensive Midfield,Right Foot,Normal,From Free Kick,0,1,0,0,0,0.041050646,Saved,95.1,38.5,118.8,40.3,0
3922837,African Cup of Nations,2023,23,58,1,Nigeria,Frank Onyeka,Right Defensive Midfield,Head,Normal,From Free Kick,1,0,0,0,0,0.10417278,Saved,112.0,45.6,118.1,42.4,0
3922837,African Cup of Nations,2023,27,31,1,South Africa,Percy Tau,Right Wing,Left Foot,Normal,Regular Play,0,1,0,0,0,0.13317303,Saved,103.9,41.4,117.5,39.3,0
3922837,African Cup of Nations,2023,29,32,1,Nigeria,Victor James Osimhen,Center Forward,Right Foot,Normal,From Free Kick,0,1,0,0,0,0.0032778177,Blocked,56.8,30.9,66.5,32.4,0
3922837,African Cup of Nations,2023,34,1,1,South Africa,Sphephelo S''Miso Sithole,Left Defensive Midfield,Head,Normal,From Corner,0,0,0,0,0,0.036809776,Off T,109.9,47.4,120.0,55.5,0
3922837,African Cup of Nations,2023,36,35,1,Nigeria,Alex Iwobi,Left Defensive Midfield,Right Foot,Normal,Regular Play,0,0,0,0,0,0.009944716,Saved,100.7,19.7,118.0,37.3,0
3922837,African Cup of Nations,2023,38,17,1,South Africa,Evidence Makgopa,Center Forward,Right Foot,Normal,From Free Kick,0,1,0,0,0,0.07480119,Saved,100.2,33.3,114.3,40.2,0
